n,NumPy,Gaussian,Improved Gaussian
1,4.0624000272752404e-05,0.00015760266675594417,0.0009982389998792012
11,0.008838486666718381,0.002508481333279633,0.0038594200001777304
21,0.00028102100016743253,0.012155877333195045,0.011653871333389057
31,0.0006087186666263733,0.04028952799975135,0.034033156666434174
41,6.80946668580873e-05,0.029029984333343844,0.03208388033363008
51,9.306866650149459e-05,0.07008981699982542,0.05814756233333659
61,7.96436670498224e-05,0.11255715700008295,0.16197295900019526
71,0.00029984399983125815,0.25665350433337153,0.2741717563333926
81,0.0003188653333078643,0.41331578133334307,0.3408232629999475
91,0.002808839333435268,0.3807381056664478,0.541546244666885
101,0.0031194406668267525,0.6038062790003096,0.5367565443333054
111,0.0007974846663879968,0.7229055223333489,0.7806473993332474
121,0.0002423256667801373,1.3032474920000823,1.185480593666701
131,0.0017978566665988183,1.0163620959995872,1.3761331713330947
141,0.00031193066661217017,1.2774988473338453,1.2290057433331942
151,0.0004419213334282783,1.600288675333104,1.6505909506668104
161,0.0012617326665349538,1.873842920666296,1.8536687010000605
171,0.0006374723334374721,2.3129609683331487,2.1525865970000573
181,0.00508683566658874,2.450463630999972,2.7131606926665577
191,0.00046566600000611896,3.522921068333138,3.0721496156663
201,0.0025288106665660357,4.262085369000185,4.016989903333221
211,0.0022142816666625245,4.1797189679997855,4.374506725333352
221,0.001554770999973698,5.342474308666776,5.783871218333236
231,0.005603470667059203,5.0707508086667685,5.256782574333556
241,0.0010490463328096666,7.505610125333685,7.5024902010000005
251,0.0008716316666929439,7.508892597666697,7.406733221666703
261,0.0008561323335622243,8.121749951666365,8.99462981000003
271,0.0033846293332923474,8.510122733666625,9.372309796666437
281,0.0014941260002766892,10.212934112333338,10.734140620666343
291,0.01006956833316508,11.634069342666711,10.615130435332807
