a,b,n,Rectangles,Trapezoidal,Simpson
-10,-2,2,-64.0,-48.0,-48.0
-10,-2,4,-56.0,-48.0,-48.0
-10,-2,6,-53.33333333333333,-48.0,-48.0
-10,-2,8,-52.0,-48.0,-48.0
-10,-2,10,-51.19999999999999,-48.0,-48.0
-10,-2,12,-50.666666666666664,-48.0,-48.0
-10,-2,14,-50.285714285714285,-48.0,-48.0
-10,-2,16,-50.0,-48.0,-48.0
-10,-2,18,-49.77777777777777,-47.99999999999999,-48.0
-10,-2,20,-49.599999999999994,-48.0,-48.0
-4,0,2,-12.0,-8.0,-8.0
-4,0,4,-10.0,-8.0,-8.0
-4,0,6,-9.333333333333334,-8.0,-8.0
-4,0,8,-9.0,-8.0,-8.0
-4,0,10,-8.8,-8.0,-8.0
-4,0,12,-8.666666666666668,-8.0,-8.0
-4,0,14,-8.57142857142857,-8.0,-8.000000000000002
-4,0,16,-8.5,-8.0,-8.0
-4,0,18,-8.444444444444446,-7.999999999999999,-8.0
-4,0,20,-8.4,-7.999999999999997,-7.999999999999999
-2,2,2,-4.0,0.0,0.0
-2,2,4,-2.0,0.0,0.0
-2,2,6,-1.3333333333333341,-4.440892098500626e-16,-4.934324553889585e-16
-2,2,8,-1.0,0.0,0.0
-2,2,10,-0.7999999999999998,5.551115123125783e-16,4.144832625267251e-16
-2,2,12,-0.6666666666666669,-4.440892098500626e-16,-4.934324553889585e-16
-2,2,14,-0.5714285714285718,-4.440892098500626e-16,-4.2294210461910723e-16
-2,2,16,-0.5,0.0,0.0
-2,2,18,-0.4444444444444444,-7.216449660063518e-16,-3.289549702593056e-16
-2,2,20,-0.3999999999999997,6.106226635438361e-16,5.329070518200751e-16
0,4,2,4.0,8.0,8.0
0,4,4,6.0,8.0,8.0
0,4,6,6.666666666666666,8.0,8.0
0,4,8,7.0,8.0,8.0
0,4,10,7.200000000000001,8.000000000000002,8.0
0,4,12,7.333333333333333,7.999999999999999,8.0
0,4,14,7.428571428571429,7.999999999999998,7.999999999999998
0,4,16,7.5,8.0,8.0
0,4,18,7.555555555555555,7.999999999999999,8.0
0,4,20,7.6000000000000005,8.0,8.000000000000002
2,10,2,32.0,48.0,48.0
2,10,4,40.0,48.0,48.0
2,10,6,42.66666666666666,47.99999999999999,48.0
2,10,8,44.0,48.0,48.0
2,10,10,44.800000000000004,48.0,48.0
2,10,12,45.33333333333333,47.99999999999999,48.0
2,10,14,45.71428571428571,48.0,48.0
2,10,16,46.0,48.0,48.0
2,10,18,46.222222222222214,48.0,48.0
2,10,20,46.400000000000006,48.0,48.0
